sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
323,bus,4,C,,Accountant_ Contact,,0..*,,Accountant Contact Information Class,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。,businessTransactionsEntityPartyAssignedAccountantContact,BU26-05,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact,bus,Accountant_ Contact
324,bus,5,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),businessTransactionsEntityPartyAssignedAccountantContactPrefix,BU24-01,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Prefix,bus,Accountant_ Contact
325,bus,5,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,businessTransactionsEntityPartyAssignedAccountantContactLastName,BU24-02,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Last Name,bus,Accountant_ Contact
326,bus,5,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,businessTransactionsEntityPartyAssignedAccountantContactFirstName,BU24-03,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact First Name,bus,Accountant_ Contact
327,bus,5,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),businessTransactionsEntityPartyAssignedAccountantContactSuffix,BU24-04,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Suffix,bus,Accountant_ Contact
328,bus,5,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,businessTransactionsEntityPartyAssignedAccountantContactAttentionLine,BU24-05,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Attention Line,bus,Accountant_ Contact
329,bus,5,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,businessTransactionsEntityPartyAssignedAccountantContactPositionRole,BU24-06,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Position Role,bus,Accountant_ Contact
330,bus,5,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,businessTransactionsEntityPartyAssignedAccountantContactContactType,BU24-07,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Contact Type,bus,Accountant_ Contact
331,bus,5,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,businessTransactionsEntityPartyAssignedAccountantContactLocationIdCrossReference,BU24-08,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Location ID cross reference,bus,Accountant_ Contact
332,bus,5,A,,Contact Active,Boolean,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,businessTransactionsEntityPartyAssignedAccountantContactActive,BU24-09,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Active,bus,Accountant_ Contact
333,bus,5,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,businessTransactionsEntityPartyAssignedAccountantContactPhone,BU24-10,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Phone,bus,Contact_ Phone
334,bus,6,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,businessTransactionsEntityPartyAssignedAccountantContactPhoneNumber,BU03-01,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Phone.Phone Number,bus,Contact_ Phone
335,bus,6,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",businessTransactionsEntityPartyAssignedAccountantContactPhoneNumberDescription,BU03-02,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Phone.Phone Number Description,bus,Contact_ Phone
336,bus,5,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,businessTransactionsEntityPartyAssignedAccountantContactFax,BU24-11,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Fax,bus,Contact_ Fax
337,bus,6,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,businessTransactionsEntityPartyAssignedAccountantContactFaxNumber,BU08-01,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Fax.Fax Number,bus,Contact_ Fax
338,bus,6,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),businessTransactionsEntityPartyAssignedAccountantContactFaxNumberUsage,BU08-02,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Fax.Fax Number Usage,bus,Contact_ Fax
339,bus,5,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,businessTransactionsEntityPartyAssignedAccountantContactEmail,BU24-12,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Email,bus,Contact_ Email
340,bus,6,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,businessTransactionsEntityPartyAssignedAccountantContactEmailAddress,BU13-01,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Email.Email Address,bus,Contact_ Email
341,bus,6,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),businessTransactionsEntityPartyAssignedAccountantContactEmailAddressUsage,BU13-02,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact_ Email.Email Address Usage,bus,Contact_ Email
342,bus,3,C,,Specified_ Reporting Calendar,,0..*,,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,businessTransactionsEntityPartySpecifiedReportingCalendar,CO14-17,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar,bus,Reporting Calendar
343,bus,4,A,PK,Reporting Calendar Code,String,0..1,,"The code used to identify this specific reporting calendar, unique across periods",報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarCode,BU29-01,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Code,bus,Reporting Calendar
344,bus,4,A,,Reporting Calendar Description,String,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarDescription,BU29-02,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Description,bus,Reporting Calendar
345,bus,4,A,,Reporting Calendar Title,String,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarTitle,BU29-03,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Title,bus,Reporting Calendar
346,bus,4,A,,Reporting Calendar Period Type,Token,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他_x000D_
[設定値のリスト]_x000D_
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarPeriodType,BU29-04,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Period Type,bus,Reporting Calendar
347,bus,4,A,,Reporting Calendar Period Type Description,String,0..1,,A description of the type of period involved.,期間種別説明,報告期間の種別の説明。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarPeriodTypeDescription,BU29-05,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Period Type Description,bus,Reporting Calendar
348,bus,4,A,,Reporting Calendar Closed Status,Token,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中_x000D_
[設定値のリスト]_x000D_
(open：オープン)、(closed：締切り済み)、(pending：保留中)",businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarClosedStatus,BU29-06,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Closed Status,bus,Reporting Calendar
349,bus,4,A,,Reporting Calendar Purpose,Token,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarPurpose,BU29-07,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Purpose,bus,Reporting Calendar
350,bus,4,A,,Reporting Calendar Purpose Description,String,0..1,,Free format description of the reporting purpose,報告目的説明,報告目的の説明。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarPurposeDescription,BU29-08,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar Purpose Description,bus,Reporting Calendar
351,bus,4,C,,Reporting Calendar_ Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarPeriod,BU29-09,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period,bus,Reporting Calendar_ Period
352,bus,5,A,PK,Period ID,String,0..1,,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarPeriodId,BU28-01,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period.Period ID,bus,Reporting Calendar_ Period
353,bus,5,A,,Period Description,String,0..1,,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。,businessTransactionsEntityPartySpecifiedReportingCalendarReportingCalendarPeriodDescription,BU28-02,$.Business Transactions.Entity_ Party.Specified_ Reporting Calendar.Reporting Calendar_ Period.Period Description,bus,Reporting Calendar_ Period
